Frequency (Hz)	Level (dB)
4634.765625	-65.151718
4640.625000	-64.514732
4646.484375	-68.960945
4652.343750	-69.746979
4658.203125	-69.746468
4664.062500	-68.928543
4669.921875	-67.124146
4675.781250	-66.720856
4681.640625	-65.659241
4687.500000	-60.951141
4693.359375	-54.418255
4699.218750	-50.434204
4705.078125	-48.072674
4710.937500	-51.645405
4716.796875	-62.064564
4722.656250	-64.930458
4728.515625	-67.059486
4734.375000	-69.277374
4740.234375	-69.955994
4746.093750	-69.997681
4751.953125	-70.890968
4757.812500	-71.370667
4763.671875	-66.958862
4769.531250	-63.241741
4775.390625	-66.451279
4781.250000	-68.567101
4787.109375	-70.819702
4792.968750	-69.879875
4798.828125	-70.141670
4804.687500	-71.794701
4810.546875	-71.912445
4816.406250	-71.010826
4822.265625	-71.429466
4828.125000	-67.789780
4833.984375	-62.517426
4839.843750	-64.510437
4845.703125	-69.428963
4851.562500	-70.260307
4857.421875	-70.573517
4863.281250	-69.401314
4869.140625	-66.346268
4875.000000	-66.037376
4880.859375	-68.387932
4886.718750	-66.877678
4892.578125	-65.256966
4898.437500	-63.405117
4904.296875	-66.745316
4910.156250	-72.189720
4916.015625	-71.622734
4921.875000	-71.432968
4927.734375	-70.490273
4933.593750	-65.965042
4939.453125	-62.806255
4945.312500	-65.354599
4951.171875	-70.417961
4957.031250	-66.825119
4962.890625	-61.520706
4968.750000	-58.054100
4974.609375	-56.275547
4980.468750	-56.053444
4986.328125	-62.688141
4992.187500	-68.465477
4998.046875	-68.695587
5003.906250	-64.487129
5009.765625	-62.151348
5015.625000	-66.525253
5021.484375	-70.101822
5027.343750	-64.545517
5033.203125	-64.605148
5039.062500	-69.650291
5044.921875	-68.552650
5050.781250	-65.727356
5056.640625	-65.737892
5062.500000	-69.532631
5068.359375	-70.974380
5074.218750	-70.091850
5080.078125	-65.663185
5085.937500	-58.940758
5091.796875	-56.257153
5097.656250	-60.928909
5103.515625	-68.063538
5109.375000	-69.487076
5115.234375	-70.541267
5121.093750	-71.022911
5126.953125	-71.041679
5132.812500	-71.454987
5138.671875	-71.202209
5144.531250	-71.246483
5150.390625	-70.851067
5156.250000	-65.002953
5162.109375	-61.716347
5167.968750	-60.721424
5173.828125	-55.652138
5179.687500	-55.280788
5185.546875	-58.443100
5191.406250	-66.028580
5197.265625	-68.650978
5203.125000	-69.188484
5208.984375	-68.621765
5214.843750	-64.284737
5220.703125	-55.104393
5226.562500	-51.166389
5232.421875	-51.047318
5238.281250	-53.836018
5244.140625	-61.909508
5250.000000	-66.046112
5255.859375	-66.575157
5261.718750	-60.414749
5267.578125	-55.456036
5273.437500	-54.224377
5279.296875	-54.293503
5285.156250	-57.192081
5291.015625	-60.302074
5296.875000	-64.921066
5302.734375	-69.200584
5308.593750	-69.948166
5314.453125	-70.711754
5320.312500	-71.012627
5326.171875	-71.583069
5332.031250	-71.386993
5337.890625	-71.517426
5343.750000	-71.295753
5349.609375	-70.655418
5355.468750	-66.393791
5361.328125	-67.964012
5367.187500	-72.515350
5373.046875	-72.124306
5378.906250	-70.442245
5384.765625	-69.562904
5390.625000	-71.289101
5396.484375	-71.536621
5402.343750	-70.948029
5408.203125	-70.331802
5414.062500	-70.142319
5419.921875	-64.267410
5425.781250	-64.726883
5431.640625	-66.599533
5437.500000	-67.892075
5443.359375	-70.267036
5449.218750	-71.309402
5455.078125	-71.163849
5460.937500	-68.554718
