Frequency (Hz)	Level (dB)
3322.265625	-62.157360
3328.125000	-59.604919
3333.984375	-57.765446
3339.843750	-59.241566
3345.703125	-62.732166
3351.562500	-64.596252
3357.421875	-67.681091
3363.281250	-69.046715
3369.140625	-68.084862
3375.000000	-64.543510
3380.859375	-65.334038
3386.718750	-67.319382
3392.578125	-61.977310
3398.437500	-59.586365
3404.296875	-64.337822
3410.156250	-67.681915
3416.015625	-65.314278
3421.875000	-65.750908
3427.734375	-66.557648
3433.593750	-68.672508
3439.453125	-69.949020
3445.312500	-68.196350
3451.171875	-62.415115
3457.031250	-59.587662
3462.890625	-59.758873
3468.750000	-64.571289
3474.609375	-65.090706
3480.468750	-67.190811
3486.328125	-67.180367
3492.187500	-65.140762
3498.046875	-65.984810
3503.906250	-66.145561
3509.765625	-60.083111
3515.625000	-53.670994
3521.484375	-52.018963
3527.343750	-55.034584
3533.203125	-61.589409
3539.062500	-66.787773
3544.921875	-68.457733
3550.781250	-66.103554
3556.640625	-63.250759
3562.500000	-67.573875
3568.359375	-63.118088
3574.218750	-62.000866
3580.078125	-68.179573
3585.937500	-67.047142
3591.796875	-60.377747
3597.656250	-62.038334
3603.515625	-68.441383
3609.375000	-68.626991
3615.234375	-66.032455
3621.093750	-62.301697
3626.953125	-61.810360
3632.812500	-62.558502
3638.671875	-65.626534
3644.531250	-63.643547
3650.390625	-59.323059
3656.250000	-54.980526
3662.109375	-53.854092
3667.968750	-56.944263
3673.828125	-62.484264
3679.687500	-62.357063
3685.546875	-60.832310
3691.406250	-53.509048
3697.265625	-51.077934
3703.125000	-50.926655
3708.984375	-55.442280
3714.843750	-58.475910
3720.703125	-54.963055
3726.562500	-51.152115
3732.421875	-48.797836
3738.281250	-50.526039
3744.140625	-57.722328
3750.000000	-63.154972
3755.859375	-65.274979
3761.718750	-66.370605
3767.578125	-65.483269
3773.437500	-67.285805
3779.296875	-66.918587
3785.156250	-62.788280
3791.015625	-62.562561
3796.875000	-66.893913
3802.734375	-66.876228
3808.593750	-65.724121
3814.453125	-65.131416
3820.312500	-66.523651
3826.171875	-69.367538
3832.031250	-68.461281
3837.890625	-67.239845
3843.750000	-66.975700
3849.609375	-65.187294
3855.468750	-63.341106
3861.328125	-67.144958
3867.187500	-67.680199
3873.046875	-67.812119
3878.906250	-67.440926
3884.765625	-67.352997
3890.625000	-68.684875
3896.484375	-66.125778
3902.343750	-62.710255
3908.203125	-55.541958
3914.062500	-49.437973
3919.921875	-49.189678
3925.781250	-52.663677
3931.640625	-59.049835
3937.500000	-62.714626
3943.359375	-58.601925
3949.218750	-54.616390
3955.078125	-52.508347
