Frequency (Hz)	Level (dB)
3773.437500	-58.937237
3779.296875	-58.478348
3785.156250	-58.364964
3791.015625	-57.949150
3796.875000	-57.110367
3802.734375	-56.909550
3808.593750	-55.296272
3814.453125	-54.814930
3820.312500	-53.754982
3826.171875	-53.292511
3832.031250	-54.615776
3837.890625	-54.887871
3843.750000	-56.218281
3849.609375	-54.965298
3855.468750	-53.545433
3861.328125	-55.414139
3867.187500	-57.024651
3873.046875	-56.406773
3878.906250	-55.401871
3884.765625	-54.407265
3890.625000	-56.879147
3896.484375	-56.124592
3902.343750	-55.300453
3908.203125	-57.511932
3914.062500	-57.243256
3919.921875	-56.087547
3925.781250	-57.340137
3931.640625	-57.205505
3937.500000	-57.212517
3943.359375	-56.856152
3949.218750	-56.860573
3955.078125	-57.720543
3960.937500	-55.858768
3966.796875	-55.252205
3972.656250	-59.148781
3978.515625	-60.133221
3984.375000	-58.942223
3990.234375	-58.091465
3996.093750	-56.649612
4001.953125	-57.039967
4007.812500	-57.805668
4013.671875	-58.052032
4019.531250	-58.050041
4025.390625	-57.816113
4031.250000	-56.917252
4037.109375	-56.957508
4042.968750	-58.363441
4048.828125	-59.351727
4054.687500	-60.511848
4060.546875	-58.711464
4066.406250	-55.283913
4072.265625	-56.638672
4078.125000	-58.050121
4083.984375	-57.162148
4089.843750	-57.367947
4095.703125	-57.634178
4101.562500	-57.789547
4107.421875	-57.666634
4113.281250	-56.631950
4119.140625	-58.180748
4125.000000	-57.777122
4130.859375	-55.889256
4136.718750	-57.121479
4142.578125	-57.340916
4148.437500	-55.004459
4154.296875	-56.562771
4160.156250	-57.359940
4166.015625	-57.722565
4171.875000	-55.903473
4177.734375	-54.469349
4183.593750	-56.335579
4189.453125	-57.042274
4195.312500	-55.840092
4201.171875	-55.524292
4207.031250	-54.316856
4212.890625	-55.179245
4218.750000	-56.002163
4224.609375	-56.765633
4230.468750	-58.248375
4236.328125	-58.473911
4242.187500	-59.451023
4248.046875	-59.711132
4253.906250	-60.027756
4259.765625	-60.201752
4265.625000	-58.947498
4271.484375	-59.923122
4277.343750	-59.679443
4283.203125	-57.446617
4289.062500	-56.730045
4294.921875	-58.378082
4300.781250	-59.145851
4306.640625	-57.706085
4312.500000	-57.425896
4318.359375	-56.942776
4324.218750	-57.191090
4330.078125	-57.383663
4335.937500	-56.448071
4341.796875	-58.059856
4347.656250	-60.445217
4353.515625	-59.588928
4359.375000	-57.853394
4365.234375	-58.989040
4371.093750	-60.376621
4376.953125	-56.446026
4382.812500	-55.593552
4388.671875	-57.918442
4394.531250	-58.017143
4400.390625	-57.536594
4406.250000	-56.895699
4412.109375	-56.273998
4417.968750	-56.462574
4423.828125	-56.617725
4429.687500	-56.387440
4435.546875	-56.863266
4441.406250	-58.342453
4447.265625	-59.538933
4453.125000	-61.192665
4458.984375	-61.405060
4464.843750	-59.677536
4470.703125	-58.384464
4476.562500	-59.798630
4482.421875	-59.331783
4488.281250	-58.080257
4494.140625	-57.361469
4500.000000	-57.473408
4505.859375	-57.723789
4511.718750	-59.351818
4517.578125	-59.293629
4523.437500	-58.287819
4529.296875	-58.190189
4535.156250	-56.094860
4541.015625	-53.102757
4546.875000	-57.959286
4552.734375	-62.074295
4558.593750	-61.784843
4564.453125	-60.574261
