Frequency (Hz)	Level (dB)
5015.625000	-72.099213
5021.484375	-75.040695
5027.343750	-76.902496
5033.203125	-76.364426
5039.062500	-76.620514
5044.921875	-77.080574
5050.781250	-76.181152
5056.640625	-74.087418
5062.500000	-74.382881
5068.359375	-75.118713
5074.218750	-74.154778
5080.078125	-74.845276
5085.937500	-75.287025
5091.796875	-74.936119
5097.656250	-76.710602
5103.515625	-77.714973
5109.375000	-76.653297
5115.234375	-75.375038
5121.093750	-76.002022
5126.953125	-76.504745
5132.812500	-76.096146
5138.671875	-74.258659
5144.531250	-75.801575
5150.390625	-76.563248
5156.250000	-75.832481
5162.109375	-75.007423
5167.968750	-73.889931
5173.828125	-76.385551
5179.687500	-75.731506
5185.546875	-74.520355
5191.406250	-73.904160
5197.265625	-75.555946
5203.125000	-77.158394
5208.984375	-75.406990
5214.843750	-77.011642
5220.703125	-76.605537
5226.562500	-76.988716
5232.421875	-74.126625
5238.281250	-73.294006
5244.140625	-76.716293
5250.000000	-76.715271
5255.859375	-74.643814
5261.718750	-74.081108
5267.578125	-75.565552
5273.437500	-73.917725
5279.296875	-72.450455
5285.156250	-73.420464
5291.015625	-74.412392
5296.875000	-76.152245
5302.734375	-75.984764
5308.593750	-75.742691
5314.453125	-73.788109
5320.312500	-75.619080
5326.171875	-76.938232
5332.031250	-76.452316
5337.890625	-79.501366
5343.750000	-78.833069
5349.609375	-78.179253
5355.468750	-77.336617
5361.328125	-77.044617
5367.187500	-77.033745
5373.046875	-73.913162
5378.906250	-72.613029
5384.765625	-71.399040
5390.625000	-72.746292
5396.484375	-73.688202
5402.343750	-73.042931
5408.203125	-74.251572
5414.062500	-75.882042
5419.921875	-75.751236
5425.781250	-76.849091
5431.640625	-78.350304
5437.500000	-78.191612
5443.359375	-78.873856
5449.218750	-78.358643
5455.078125	-76.326500
5460.937500	-73.875671
5466.796875	-75.417824
5472.656250	-77.050797
5478.515625	-77.126801
5484.375000	-76.233269
5490.234375	-75.756393
5496.093750	-77.144012
5501.953125	-77.584061
5507.812500	-76.782288
5513.671875	-76.643181
5519.531250	-77.180878
5525.390625	-74.855621
5531.250000	-75.125465
5537.109375	-76.421837
5542.968750	-76.027931
5548.828125	-74.871582
5554.687500	-75.210526
5560.546875	-75.799240
5566.406250	-73.783684
5572.265625	-75.053009
5578.125000	-76.246666
5583.984375	-76.827080
5589.843750	-76.617020
5595.703125	-76.511566
5601.562500	-76.979530
5607.421875	-75.407867
5613.281250	-76.988075
5619.140625	-77.257355
5625.000000	-76.637985
5630.859375	-76.575134
5636.718750	-78.842453
5642.578125	-77.684952
5648.437500	-76.324432
5654.296875	-76.134163
5660.156250	-75.148972
5666.015625	-75.560410
5671.875000	-75.740715
5677.734375	-74.088600
5683.593750	-72.680733
5689.453125	-74.614639
5695.312500	-76.084679
5701.171875	-75.307953
5707.031250	-73.541145
5712.890625	-74.423630
5718.750000	-77.790970
5724.609375	-77.507126
5730.468750	-75.727921
5736.328125	-77.541435
5742.187500	-77.969078
5748.046875	-78.844070
5753.906250	-78.026405
5759.765625	-77.219963
5765.625000	-76.101273
5771.484375	-74.158913
5777.343750	-75.055260
5783.203125	-76.269989
5789.062500	-75.717644
5794.921875	-75.686485
5800.781250	-76.019440
5806.640625	-74.991776
5812.500000	-73.541870
5818.359375	-74.673340
5824.218750	-75.770454
5830.078125	-76.975166
5835.937500	-77.233986
5841.796875	-76.820892
5847.656250	-77.514061
5853.515625	-75.328621
5859.375000	-74.396942
5865.234375	-74.771713
5871.093750	-73.870331
5876.953125	-75.464111
5882.812500	-76.914383
5888.671875	-75.191116
5894.531250	-74.347130
5900.390625	-76.189980
5906.250000	-78.289146
5912.109375	-78.156731
5917.968750	-77.542076
5923.828125	-77.900024
5929.687500	-78.710205
5935.546875	-78.344612
5941.406250	-78.213272
5947.265625	-77.574867
5953.125000	-78.018829
5958.984375	-77.811989
5964.843750	-77.538864
5970.703125	-77.067314
5976.562500	-75.436768
5982.421875	-76.364746
5988.281250	-76.630081
5994.140625	-76.479004
6000.000000	-75.629250
6005.859375	-76.758362
6011.718750	-77.485184
6017.578125	-77.259338
6023.437500	-78.336868
6029.296875	-78.050331
6035.156250	-77.632515
6041.015625	-74.204628
6046.875000	-70.703720
6052.734375	-72.709816
6058.593750	-74.950150
6064.453125	-76.457802
6070.312500	-77.316566
6076.171875	-76.865295
6082.031250	-76.060661
6087.890625	-76.634102
6093.750000	-78.060402
6099.609375	-77.416992
6105.468750	-75.623390
6111.328125	-75.514275
6117.187500	-77.150711
6123.046875	-77.734123
6128.906250	-77.857964
6134.765625	-78.864975
6140.625000	-80.087708
6146.484375	-79.596870
6152.343750	-78.428757
6158.203125	-77.403008
6164.062500	-76.819244
6169.921875	-76.289009
6175.781250	-76.168541
6181.640625	-75.830795
6187.500000	-74.948868
6193.359375	-76.791389
6199.218750	-77.807175
6205.078125	-77.063133
6210.937500	-77.704475
6216.796875	-79.167183
6222.656250	-78.746925
6228.515625	-77.758522
6234.375000	-78.769920
6240.234375	-77.183296
6246.093750	-77.700996
6251.953125	-77.444801
6257.812500	-76.386154
6263.671875	-76.629326
6269.531250	-76.505493
6275.390625	-77.423729
6281.250000	-78.440933
6287.109375	-79.433594
6292.968750	-77.849922
6298.828125	-77.257118
6304.687500	-76.011086
6310.546875	-74.930351
6316.406250	-76.379555
6322.265625	-79.383492
6328.125000	-79.406853
6333.984375	-79.719322
6339.843750	-76.806793
6345.703125	-75.723633
6351.562500	-75.207848
6357.421875	-75.751564
6363.281250	-75.128181
6369.140625	-73.071907
6375.000000	-73.029022
6380.859375	-75.026543
6386.718750	-74.793350
6392.578125	-75.677971
6398.437500	-75.493858
6404.296875	-76.895271
6410.156250	-77.318756
6416.015625	-78.803581
6421.875000	-79.076965
6427.734375	-77.516586
6433.593750	-77.472099
6439.453125	-77.682304
6445.312500	-77.077538
6451.171875	-76.091515
6457.031250	-75.062950
6462.890625	-76.249771
6468.750000	-76.861313
6474.609375	-76.734116
6480.468750	-76.483604
6486.328125	-78.175064
6492.187500	-78.426163
6498.046875	-78.473763
6503.906250	-78.407066
6509.765625	-78.633255
6515.625000	-80.212532
6521.484375	-79.761208
6527.343750	-79.725098
6533.203125	-78.673180
6539.062500	-77.516396
6544.921875	-78.298271
6550.781250	-79.691833
6556.640625	-79.016716
6562.500000	-78.742516
6568.359375	-78.594620
6574.218750	-79.459755
6580.078125	-80.913918
6585.937500	-79.951462
6591.796875	-78.818024
6597.656250	-78.261635
6603.515625	-79.060623
6609.375000	-79.232315
6615.234375	-78.948463
6621.093750	-80.458687
6626.953125	-79.283051
6632.812500	-78.180984
6638.671875	-78.181351
6644.531250	-80.131714
6650.390625	-80.125755
6656.250000	-79.069527
6662.109375	-79.484863
6667.968750	-79.034172
6673.828125	-79.777573
6679.687500	-81.114021
6685.546875	-81.035439
6691.406250	-81.207138
6697.265625	-80.005707
6703.125000	-79.394722
6708.984375	-77.631973
6714.843750	-75.961647
6720.703125	-77.464783
6726.562500	-80.455544
6732.421875	-79.470604
6738.281250	-78.759308
6744.140625	-79.212524
6750.000000	-78.045242
6755.859375	-78.947731
6761.718750	-79.875450
6767.578125	-80.920433
6773.437500	-81.021194
6779.296875	-80.980614
6785.156250	-79.605896
6791.015625	-78.241959
6796.875000	-78.205688
6802.734375	-79.092758
6808.593750	-80.920288
6814.453125	-82.259499
6820.312500	-82.273476
6826.171875	-81.406876
6832.031250	-81.045258
6837.890625	-77.435509
6843.750000	-74.843811
6849.609375	-75.648140
6855.468750	-77.633942
6861.328125	-79.204819
6867.187500	-80.469513
6873.046875	-81.795952
6878.906250	-80.785378
6884.765625	-79.654968
